"","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre"
"986",2010-11-10,"Morning Glory",40000000,31011732,59795070,"Paramount Pictures","PG-13","Comedy"
"987",2005-11-09,"Get Rich or Die Tryin'",40000000,30981850,46666955,"Paramount Pictures","R","Drama"
"988",2013-12-25,"Grudge Match",40000000,29807260,69807260,"Warner Bros","PG-13","Comedy"
"989",1999-04-02,"The Out-of-Towners",40000000,28544120,28544120,"Paramount Pictures","PG-13","Comedy"
"990",2017-08-11,"The Nut Job 2: Nutty by Nature",40000000,28370522,57465156,"Open Road","PG","Adventure"
"991",1996-08-23,"The Island of Dr. Moreau",40000000,27682712,27682712,"New Line","PG-13","Adventure"
"992",2001-09-07,"The Musketeer",40000000,27053815,27053815,"Universal","PG-13","Adventure"
"993",2017-01-27,"Resident Evil: The Final Chapter",40000000,26844692,312825686,"Sony Pictures","R","Action"
"994",2008-02-29,"The Other Boleyn Girl",40000000,26814957,78269970,"Sony Pictures","PG-13","Drama"
"995",2017-06-30,"The House",40000000,25584504,31192743,"Warner Bros","R","Comedy"
"996",2001-02-16,"Sweet November",40000000,25288103,65754228,"Warner Bros","PG-13","Drama"
"997",2007-04-05,"The Reaping",40000000,25126214,62226214,"Warner Bros","R","Horror"
"998",1994-06-03,"Renaissance Man",40000000,24172899,24172899,"Walt Disney","PG-13","Comedy"
"999",1998-05-15,"Quest for Camelot",40000000,22772500,38172500,"Warner Bros","G","Adventure"
"1000",2002-09-06,"City by the Sea",40000000,22433915,22433915,"Warner Bros","R","Drama"
"1001",1999-01-15,"At First Sight",40000000,22365133,22365133,"MGM","PG-13","Drama"
"1002",2004-01-16,"Torque",40000000,21176322,46176322,"Warner Bros","PG-13","Action"
"1003",2009-11-13,"Fantastic Mr. Fox",40000000,21002919,47083412,"20th Century Fox","PG","Adventure"
"1004",1996-02-16,"City Hall",40000000,20278055,20278055,"Sony Pictures","R","Drama"
"1005",2012-02-03,"Big Miracle",40000000,20157300,25268680,"Universal","PG","Drama"
"1006",2012-12-21,"The Impossible",40000000,19019882,169590606,"Lionsgate","PG-13","Drama"
"1007",2012-03-09,"A Thousand Words",40000000,18450127,20790486,"Paramount Pictures","PG-13","Comedy"
"1008",2006-10-20,"Marie Antoinette",40000000,15962471,60862471,"Sony Pictures","PG-13","Drama"
"1009",2000-10-06,"Get Carter",40000000,14967182,19417182,"Warner Bros","R","Drama"
"1010",1995-04-21,"Kiss of Death",40000000,14942422,14942422,"20th Century Fox","R","Drama"
"1011",1987-05-15,"Ishtar",40000000,14375181,14375181,"Sony Pictures","PG-13","Comedy"
"1012",1992-02-28,"Memoirs of an Invisible Man",40000000,14358033,14358033,"Warner Bros","PG-13","Comedy"
"1013",2009-10-23,"Amelia",40000000,14279575,19756077,"Fox Searchlight","PG","Drama"
"1014",2004-05-07,"New York Minute",40000000,14018364,21215882,"Warner Bros","PG","Comedy"
"1015",1999-03-12,"The Deep End of the Ocean",40000000,13508635,13508635,"Sony Pictures","PG-13","Drama"
"1016",2002-08-30,"FearDotCom",40000000,13208023,13208023,"Warner Bros","R","Horror"
"1017",2008-11-07,"Soul Men",40000000,12082391,12345883,"MGM","R","Comedy"
"1018",1999-08-20,"Universal Soldier II: The Return",40000000,10447421,10717421,"Sony Pictures","R","Action"
"1019",2009-09-25,"Pandorum",40000000,10330853,17033431,"Overture Films","R","Horror"
"1020",2003-09-26,"Duplex",40000000,9652000,10070651,"Miramax","PG-13","Comedy"
"1021",2002-11-27,"Extreme Ops",40000000,4835968,12624471,"Paramount Pictures","PG-13","Action"
"1022",2001-04-06,"Just Visiting",40000000,4777007,16172200,"Walt Disney","PG-13","Comedy"
"1023",1994-03-11,"The Hudsucker Proxy",40000000,2816518,14938149,"Warner Bros","PG","Comedy"
"1024",2016-11-11,"Billy Lynn۪s Long Halftime Walk",40000000,1738477,30230402,"Sony Pictures","R","Drama"
"1025",2008-12-12,"Delgo",40000000,915840,915840,"Freestyle Releasing","PG","Adventure"
"1026",2007-09-07,"The Hunting Party",40000000,876671,7729552,"Weinstein Co","R","Adventure"
"1027",2006-10-13,"Alex Rider: Operation Stormbreaker",40000000,659210,20722450,"Weinstein Co","PG","Action"
"1028",2009-11-20,"Red Cliff",40000000,627047,119627047,"Magnolia Pictures","R","Action"
"1029",2004-09-24,"The Last Shot",40000000,463730,463730,"Walt Disney","R","Comedy"
"1030",2007-03-16,"Nomad",40000000,79123,79123,"Weinstein Co","R","Drama"
"1031",2016-11-11,"USS Indianapolis: Men of Courage",40000000,0,1641255,"Saban Films","R","Drama"
"1032",2009-08-14,"The Time Traveler's Wife",39000000,63414846,102332135,"Warner Bros","PG-13","Drama"
"1033",1983-06-17,"Superman III",39000000,59950623,59950623,"Warner Bros","PG","Adventure"
"1034",2007-02-02,"Because I Said So",39000000,42674040,69538833,"Universal","PG-13","Comedy"
"1035",2012-10-05,"Frankenweenie",39000000,35287788,81150788,"Walt Disney","PG","Adventure"
"1036",1996-03-29,"Sgt. Bilko",39000000,30356589,37956589,"Universal","PG","Comedy"
"1037",2005-09-30,"Serenity",39000000,25514517,40319440,"Universal","PG-13","Action"
"1038",2004-02-20,"Against the Ropes",39000000,5881504,6429865,"Paramount Pictures","PG-13","Drama"
"1039",2013-08-23,"Yi dai zong shi",38600000,6594959,57987299,"Weinstein Co","PG-13","Action"
"1040",2001-06-22,"The Fast and the Furious",38000000,144512310,206512310,"Universal","PG-13","Action"
"1041",2002-09-27,"Sweet Home Alabama",38000000,127214072,182365114,"Walt Disney","PG-13","Comedy"
"1042",1994-11-18,"Star Trek: Generations",38000000,75671262,120000000,"Paramount Pictures","PG","Adventure"
"1043",2015-04-17,"Paul Blart: Mall Cop 2",38000000,71091594,107650646,"Sony Pictures","PG","Adventure"
"1044",1997-12-19,"Mouse Hunt",38000000,61894591,61894591,"Dreamworks SKG","PG","Adventure"
"1045",2016-12-23,"Why Him?",38000000,60323786,117439538,"20th Century Fox","R","Comedy"
"1046",2011-04-22,"Water for Elephants",38000000,58709717,116809717,"20th Century Fox","PG-13","Drama"
"1047",1999-12-29,"The Hurricane",38000000,50699241,73956241,"Universal","R","Drama"
"1048",2013-09-06,"Riddick",38000000,42025135,94763758,"Universal","R","Action"
"1049",2016-01-22,"The 5th Wave",38000000,34912982,111336398,"Sony Pictures","PG-13","Action"
"1050",2013-09-20,"Rush",38000000,26947624,98230839,"Universal","R","Drama"
"1051",2001-05-18,"Angel Eyes",38000000,24044532,29544532,"Warner Bros","R","Drama"
"1052",2001-12-21,"Joe Somebody",38000000,22770864,24515990,"20th Century Fox","PG","Comedy"
"1053",2017-10-20,"Only the Brave",38000000,18340051,24181629,"Sony Pictures","PG-13","Drama"
"1054",1996-09-27,"Extreme Measures",38000000,17378193,17378193,"Sony Pictures","R","Drama"
"1055",2001-09-07,"Rock Star",38000000,16991902,19317765,"Warner Bros","R","Drama"
